"cron_schedule","cron_schedule_described"
"2 0-23/4 * * *","At 2 minutes past the hour, every 4 hours, between 12:00 AM and 11:59 PM"
"2 0-23/8 * * *","At 2 minutes past the hour, every 8 hours, between 12:00 AM and 11:59 PM"
"2 02 * * *","At 02:02 AM"
"2 03-22 * * *","At 2 minutes past the hour, between 03:00 AM and 10:59 PM"
"2 04 * * *","At 04:02 AM"
"2 06-18/4 * * 1-5","At 2 minutes past the hour, every 4 hours, between 06:00 AM and 06:59 PM,  Monday through Friday"
"2 1 * * *","At 01:02 AM"
"2 1-23 28 6 *","At 2 minutes past the hour, between 01:00 AM and 11:59 PM, on day 28 of  the month, only in June"
"2 1-23 31 5 *","At 2 minutes past the hour, between 01:00 AM and 11:59 PM, on day 31 of  the month, only in May"
"2 10 * * *","At 10:02 AM"
"2 14 28 3 3","At 02:02 PM, on day 28 of the month, only on Wednesday, only in March"
"2 3 * * *","At 03:02 AM"
"2 3-21/6 * * *","At 2 minutes past the hour, every 6 hours, between 03:00 AM and 09:59 PM"
"2 4-19 * * 1-5","At 2 minutes past the hour, between 04:00 AM and 07:59 PM, Monday through  Friday"
"2 5 * * *","At 05:02 AM"
"2 6 * * *","At 06:02 AM"
"2 6,18 * * *","At 06:02 AM and 06:02 PM"
"2 6-23 * * *","At 2 minutes past the hour, between 06:00 AM and 11:59 PM"
"2 7-23 * * *","At 2 minutes past the hour, between 07:00 AM and 11:59 PM"
